month,questions,year,month_name,year_over_year_change_pct,post_chatgpt,log_questions,rolling_12_month_median
2018-01-01,160440,2018,Jan,,False,11.98567531988399,
2018-02-01,153056,2018,Feb,,False,11.938559146480024,
2018-03-01,172864,2018,Mar,,False,12.060260437152287,
2018-04-01,162382,2018,Apr,,False,11.997706863128368,
2018-05-01,167431,2018,May,,False,12.028326605078037,
2018-06-01,154531,2018,Jun,,False,11.94815000244216,
2018-07-01,160002,2018,Jul,,False,11.98294159413784,
2018-08-01,158393,2018,Aug,,False,11.97283456546678,
2018-09-01,144465,2018,Sep,,False,11.880792542663075,
2018-10-01,160386,2018,Oct,,False,11.985338688809762,
2018-11-01,149691,2018,Nov,,False,11.916328448359945,
2018-12-01,132168,2018,Dec,,False,11.791829119610426,159197.5
2019-01-01,149531,2019,Jan,-6.799426576913492,False,11.91525900817674,156462.0
2019-02-01,146317,2019,Feb,-4.402963621158273,False,11.89353077984745,156462.0
2019-03-01,161052,2019,Mar,-6.833117363939278,False,11.989482573185807,156462.0
2019-04-01,153470,2019,Apr,-5.488293037405622,False,11.941260387169141,154000.5
2019-05-01,151296,2019,May,-9.636805609474951,False,11.92699346188566,152383.0
2019-06-01,135841,2019,Jun,-12.094660618257825,False,11.819240363119963,150493.5
2019-07-01,150974,2019,Jul,-5.642429469631627,False,11.924862915540984,150332.5
2019-08-01,137078,2019,Aug,-13.457034086102293,False,11.828305385861684,149611.0
2019-09-01,136854,2019,Sep,-5.268404111722558,False,11.826669943124601,149611.0
2019-10-01,152599,2019,Oct,-4.8551619218635045,False,11.935568844731074,149611.0
2019-11-01,148211,2019,Nov,-0.9887033956617275,False,11.90639221311125,148871.0
2019-12-01,132498,2019,Dec,0.2496822226257578,False,11.79432282995487,148871.0
2020-01-01,146592,2020,Jan,-1.9654787301629728,False,11.89540849668647,147401.5
2020-02-01,145015,2020,Feb,-0.8898487530498822,False,11.88459246432817,147401.5
2020-03-01,155874,2020,Mar,-3.215110647492736,False,11.956803267564807,147401.5
2020-04-01,182835,2020,Apr,19.13403270997589,False,12.116339385758046,147401.5
